by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5
PuddleOfSausage,36744683,2,2023-07-16 08:10:06 UTC,CLI helper tool using OpenAI to lookup commands based on a description,https://github.com/mendhak/gpt-cli-helper,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lollo1,36746235,5,2023-07-16 12:31:23 UTC,Show HN: HuggingFace and OpenAI powered Reply Bot with privacy protection,https://github.com/lorenzoviva/PrivateParrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coder_chenzhi,36755796,4,2023-07-17 09:15:47 UTC,Chatunitest-maven-plugin: a ChatGPT-based automated unit test generation tool,https://github.com/ZJU-ACES-ISE/chatunitest-maven-plugin,2,2,4,7,0,1,53,53,18,46,24,9,0,0,0,0,0,0,0,0,1,1,1,0,4,4,3,3,3,2
mrtksn,36759086,18,2023-07-17 15:00:22 UTC,Promptmap – automatically tests prompt injection attacks on ChatGPT instances,https://github.com/utkusen/promptmap,61,73,73,37,43,41,2,0,0,0,0,2,0,0,0,0,0,0,5,10,10,4,3,8,1,0,0,0,0,1
RadixDLT,36761442,2,2023-07-17 17:45:42 UTC,AI-powered task management system in JavaScript,https://github.com/ericciarla/babyagijs,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
z1ned,36762828,1,2023-07-17 19:29:35 UTC,Show HN: Open-Source AI Landing Page Generator,https://github.com/zinedkaloc/ai-page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdus2609,36763660,3,2023-07-17 20:32:54 UTC,Show HN: I built GitHub AI Assistant to find helpful repos for my project,https://github.com/felixbrock/lemonai,1,0,0,0,0,6,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
niux,36773590,4,2023-07-18 15:03:28 UTC,Show HN: ChatKey – Supercharge your productivity with ChatGPT and AutoHotkey,https://github.com/overflowy/chat-key,17,2,5,13,13,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
locustmostest,36774700,5,2023-07-18 16:05:39 UTC,Show HN: AWS-Powered Open Source Document Management with OCR and AI Metadata,https://github.com/formkiq/formkiq-core,7,4,5,6,6,4,84,97,68,83,83,45,4,2,2,2,2,1,0,0,1,0,0,1,3,2,1,2,2,1
kgoedecke,36774850,8,2023-07-18 16:13:55 UTC,Show HN: ChatGPT Powered Live React Editor,https://github.com/XD2Sketch/gpt-react-designer,13,9,5,11,11,10,6,1,0,1,1,0,3,0,0,0,0,0,2,2,1,1,1,0,1,1,0,1,1,0
gk1,36774925,5,2023-07-18 16:17:31 UTC,Open-Source LLaMA v2 Chatbot,https://github.com/a16z-infra/llama2-chatbot,178,71,39,28,28,20,0,0,0,0,0,0,3,0,1,0,0,0,45,5,11,9,9,3,2,0,1,0,0,0
PaulHoule,36775282,13,2023-07-18 16:37:08 UTC,RWKV.F90: Large Language Model in Fortran,https://github.com/FortAI-Hub/rwkv.f90,2,6,1,0,0,0,14,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0
prashantgupta24,36777661,1,2023-07-18 19:04:49 UTC,An AI toolkit to manage models through a set of developer friendly APIs,https://github.com/caikit/caikit,8,5,2,4,4,9,30,21,28,32,32,18,64,52,63,61,61,42,2,5,6,2,2,0,8,13,13,12,12,7
thunderbong,36781890,2,2023-07-19 03:44:41 UTC,ChatGPT Integration for Visual Studio Code,https://github.com/Ayyoub-ESSADEQ/cocaptain,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ir3k,36786239,91,2023-07-19 13:46:18 UTC,Show HN: Gemini web client in 100 lines of C,https://github.com/ir33k/gmi100,3,2,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
jarvis2f,36787454,2,2023-07-19 14:55:00 UTC,Jarvis2f/AIs-ninja: A ChatGPT that supports plugins,https://github.com/jarvis2f/ais-ninja,34,23,2,6,3,5,9,0,2,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,1,0,1,0,0,0
typpo,36790061,2,2023-07-19 17:27:37 UTC,Show HN: CLI for testing and evaluating LLM prompts and outputs,https://github.com/promptfoo/promptfoo,117,338,165,182,160,191,107,143,70,129,88,123,33,61,44,70,41,63,3,8,15,12,13,17,3,5,7,7,3,7
Kurfofl,36790923,7,2023-07-19 18:22:11 UTC,AI Completes “A Song of Ice and Fire” in 1.2M Words,https://github.com/LiamSwayne/AI-Song-Of-Ice-And-Fire,3,2,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
adius,36793180,2,2023-07-19 20:53:30 UTC,ChaiNNer – Node/Graph based image processing and AI upscaling GUI,https://github.com/chaiNNer-org/chaiNNer,146,155,149,141,156,158,167,80,59,70,55,139,210,77,50,80,85,142,12,12,8,11,9,13,7,6,3,3,4,4
Lwrless,36795667,2,2023-07-20 00:58:47 UTC,Novel: Notion-style WYSIWYG editor with AI-powered autocompletion,https://github.com/steven-tey/novel,1046,1489,574,346,398,331,12,26,8,0,0,0,23,23,20,5,6,6,96,116,66,53,60,57,7,13,11,5,2,4
NPCSpeedruns,36796256,2,2023-07-20 02:31:31 UTC,Using RNGs to make vector embeds that are 11.6% similar to ChatGPT,https://github.com/PsySecGroup/instrumental-convergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melihunsal,36799894,17,2023-07-20 13:07:41 UTC,DemoGPT: Open-Source Alternative of Code Interpreter with the Power of Llama 2,https://github.com/melih-unsal/DemoGPT,490,175,69,42,27,39,132,45,39,3,0,0,5,16,2,0,0,1,60,22,16,2,3,8,2,2,2,1,0,1
emreb,36799965,10,2023-07-20 13:14:00 UTC,"CodiumAI: An AI-Powered Tool for Automated PR Analysis, Feedback, Suggestions",https://github.com/Codium-ai/pr-agent,492,387,269,204,275,355,131,136,104,135,112,146,131,99,111,115,81,115,53,22,34,30,25,30,15,20,17,14,13,12
tikkun,36800146,2,2023-07-20 13:29:48 UTC,Llama 2 Resources,https://github.com/TikkunCreation/llama-2-resources,2,2,1,1,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ayanb9440,36803533,84,2023-07-20 17:11:08 UTC,"Show HN: RAGstack – private ChatGPT for enterprise VPCs, built with Llama 2",https://github.com/psychic-api/rag-stack,499,74,102,55,37,43,25,1,0,0,0,0,18,2,0,0,0,0,46,9,20,6,8,4,8,1,0,0,0,0
williamzeng0,36806657,7,2023-07-20 20:58:04 UTC,Show HN: Sweep – AI-Powered Junior Developer for Tech Debt,https://github.com/sweepai/sweep,3287,434,233,160,706,126,3857,3085,2937,1032,869,543,509,612,821,258,269,296,109,36,27,25,77,17,8,12,14,6,7,8
IvanGabriele,36806958,3,2023-07-20 21:25:25 UTC,Automating your communication between Visual Studio Code and ChatGPT,https://github.com/ivangabriele/openai-forge-vsce,0,1,3,1,0,0,47,42,64,42,30,44,2,3,9,5,0,2,0,0,0,0,0,1,1,1,2,2,1,1
tvvocold,36809203,4,2023-07-21 02:05:04 UTC,Code AI with Codebase Context,https://github.com/sourcegraph/cody,194,142,107,123,188,206,1512,1358,1143,1526,1377,1509,501,428,318,429,507,560,12,14,10,16,24,17,36,31,27,30,33,34
croes,36810846,3,2023-07-21 07:05:50 UTC,LLM Drifts: How Is ChatGPT’s Behavior Changing over Time?,https://github.com/lchen001/LLMDrift,19,9,9,6,8,4,11,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1
neochau,36812291,1,2023-07-21 10:54:39 UTC,"A Next.js app, powered by OpenAI GPT, helps you make money",https://github.com/mojocn/gptchat,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ThaddeusJiang,36813419,2,2023-07-21 13:20:22 UTC,"Show HN: AIer – [open source] Create, train and share your own AI Avatars",https://github.com/ThaddeusJiang/AIer,1,4,1,1,0,1,1,8,1,0,0,0,0,12,2,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0
utfeight,36818728,1,2023-07-21 19:49:58 UTC,Generate ASCII Art Using AI,https://github.com/UTFeight/Charisma,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BoorishBears,36819688,3,2023-07-21 21:02:12 UTC,Show HN: Guiding LLM outputs using Zod,https://github.com/dzhng/zod-gpt,32,21,42,16,26,42,0,0,0,6,5,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,1,1,0
MaxLeiter,36821551,14,2023-07-21 23:44:33 UTC,"The Vercel AI SDK: Build Streaming AI Apps with React, Svelte, Solid, and Vue",https://github.com/vercel-labs/ai,205,0,0,0,0,0,53,0,0,0,0,0,47,0,0,0,0,0,35,0,0,0,0,0,15,0,0,0,0,0
lastdong,36824333,33,2023-07-22 07:58:10 UTC,ShortGPT – Experimental AI framework for automated short/video content creation,https://github.com/RayVentura/ShortGPT,501,338,242,207,123,149,44,2,0,0,6,1,19,2,0,0,1,0,82,60,39,35,31,27,7,1,0,0,1,1
frozenlettuce,36828418,7,2023-07-22 18:18:35 UTC,"Show HN: News Radar, an experiment on generating news with AI",https://github.com/lfarroco/news-radar,3,0,2,0,0,2,161,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
atg_abhishek,36833242,3,2023-07-23 07:19:37 UTC,Llama Recipes,https://github.com/facebookresearch/llama-recipes,1105,613,669,553,1038,805,46,51,16,16,41,30,46,50,27,14,48,21,198,88,88,95,112,144,21,14,14,9,13,9
jicea,36833595,2,2023-07-23 08:40:29 UTC,Developer-Oriented ChatGPT Clone,https://github.com/tarasglek/chatcraft.org,6,13,7,5,3,4,64,42,8,47,17,110,31,38,14,23,7,54,2,0,3,1,2,3,3,2,3,6,5,9
anjneymidha,36838051,707,2023-07-23 18:13:54 UTC,Llama2.c: Inference llama 2 in one file of pure C,https://github.com/karpathy/llama2.c,1592,691,565,487,475,413,124,10,5,0,0,0,229,35,17,8,8,2,238,91,80,82,81,59,54,17,8,6,7,2
okasaki,36845813,2,2023-07-24 10:55:54 UTC,CatGPT – All your ChatGPT conversations on a single offline static page,https://github.com/dvolk/catgpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
js98,36848011,3,2023-07-24 13:52:54 UTC,Show HN: OpenAI-Functools: Simplified Generation of OpenAI Functions Metadata,https://github.com/Jakob-98/openai-functools,9,8,6,8,4,4,24,0,2,17,0,7,9,0,1,12,0,9,0,0,1,1,1,1,3,0,1,4,0,2
simonpure,36855055,3,2023-07-24 22:21:42 UTC,A Clojure Wrapper for Llama.cpp,https://github.com/phronmophobic/llama.clj,34,12,18,12,4,3,22,13,22,2,0,0,4,1,0,0,0,0,2,1,1,2,1,0,2,1,1,1,0,0
ibigio,36861507,36,2023-07-25 12:53:46 UTC,Show HN: Shell AI – My Aggressively Minimal Open Source Assistant,https://github.com/ibigio/shell-ai,26,3,1,20,15,6,0,0,0,1,6,7,2,0,0,1,4,0,3,2,0,1,1,1,2,0,0,2,1,1
ISV_Damocles,36864021,140,2023-07-25 15:43:56 UTC,Show HN: Marsha – An LLM-Based Programming Language,https://github.com/alantech/marsha,51,6,5,6,0,2,26,0,0,1,0,0,16,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,0
bcjordan,36869403,1,2023-07-25 20:57:27 UTC,Mentat - The AI Coding Assistant,https://github.com/biobootloader/mentat,546,136,0,0,0,0,49,107,0,0,0,0,40,39,0,0,0,0,47,8,0,0,0,0,14,5,0,0,0,0
qqqturing1,36869958,2,2023-07-25 21:39:57 UTC,"Show HN: ChatGPT prompt manager, level up your prompts",https://github.com/gtestault/maestro-chatGPT,10,0,0,1,0,0,4,1,0,1,1,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0
cromwellian,36874047,1,2023-07-26 07:08:00 UTC,"Exitter by ChatGPT, switch X Tab icon back to Twitter icon",https://github.com/cromwellian/exitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
henrycunh,36878577,1,2023-07-26 14:45:47 UTC,Cursive: A Lean and Intuitive LLM Framework,https://github.com/meistrari/cursive,24,5,7,0,1,0,1,12,3,7,3,0,1,4,0,0,1,0,1,0,2,0,0,0,2,1,1,1,2,0
sophbutler,36883749,10,2023-07-26 19:43:29 UTC,Show HN: An Automated AI Translator,https://github.com/speedify/autotranslate-ai,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transitivebs,36887412,153,2023-07-27 00:56:39 UTC,"Chidori – Declarative framework for AI agents (Rust, Python, and Node.js)",https://github.com/ThousandBirdsInc/chidori,240,42,31,11,9,12,12,21,2,0,1,1,14,14,5,0,0,0,15,1,1,0,0,1,2,1,2,0,1,1
ij23,36887711,62,2023-07-27 01:31:35 UTC,"Show HN: Litellm – Simple library to standardize OpenAI, Cohere, Azure LLM I/O",https://github.com/BerriAI/litellm,657,636,949,750,753,838,739,763,707,808,823,1058,53,53,107,77,100,304,34,56,105,84,87,96,12,19,34,30,37,33
smiled0g,36890530,4,2023-07-27 08:20:01 UTC,Show HN: LLFn – A Light-Weight Framework for Building AI (LangChain Alternative),https://github.com/orgexyz/LLFn,12,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
lgrammel,36890680,3,2023-07-27 08:43:03 UTC,"Show HN: AI-utils.js – TypeScript-first lib for AI apps, chatbots, and agents",https://github.com/lgrammel/ai-utils.js,1,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
sherwynds,36892181,19,2023-07-27 12:00:04 UTC,LLM Gateway: Secure and Reliable Exploration of Generative AI,https://github.com/wealthsimple/llm-gateway,5,8,3,4,4,7,6,0,5,15,1,10,9,2,9,8,4,14,4,1,0,0,1,2,6,2,2,3,4,5
janchorowski,36894142,11,2023-07-27 14:29:38 UTC,"Show HN: LLM App – build a realtime LLM app in 30 lines, with no vector database",https://github.com/pathwaycom/llm-app,74,44,555,318,395,71,53,18,14,24,7,3,29,6,4,4,0,1,13,3,30,31,16,6,10,4,4,4,1,2
HammadB,36898089,2,2023-07-27 18:26:40 UTC,CLAIRe: Conversational Learning AI with Recall,https://github.com/suvansh/CLAIRe,8,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
uripeled2,36900130,1,2023-07-27 21:03:21 UTC,LLM-Client – Python library for seamless integration with LLMs,https://github.com/uripeled2/llm-client-sdk,5,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
lamroger,36907074,4,2023-07-28 14:12:15 UTC,"Show HN: Waffie, an LLM API automated testing tool",https://github.com/lamroger/waffie,2,0,0,0,0,1,0,0,0,0,0,0,18,16,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
kateklink,36907436,15,2023-07-28 14:38:06 UTC,Launch HN: Refact – Open-source AI Code assistant with fine-tuning on codebase,https://github.com/smallcloudai/refact,165,365,127,62,40,67,81,120,107,74,55,87,22,62,63,33,31,47,10,23,5,3,4,8,6,11,8,8,7,6
swyx,36909255,3,2023-07-28 16:24:15 UTC,MindsDB AI Database,https://github.com/mindsdb/mindsdb,355,262,745,429,326,406,286,291,621,454,185,256,229,220,765,308,134,193,51,44,253,87,38,42,31,23,124,37,23,31
residualmind,36921827,2,2023-07-29 16:29:35 UTC,Show HN: Makeitso – A (possibly evil) AI-powered preprocessor,https://github.com/residualmind/makeitso,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,36933452,565,2023-07-30 17:14:22 UTC,Show HN: Khoj – Chat offline with your second brain using Llama 2,https://github.com/khoj-ai/khoj,1285,211,115,98,182,126,111,58,170,233,59,132,51,13,34,70,27,40,60,7,11,15,15,11,6,3,5,5,4,2
mlejva,36935474,6,2023-07-30 20:15:54 UTC,Show HN: Plugin that gives your ChatGPT sandboxed cloud environment,https://github.com/e2b-dev/chatgpt-plugin,164,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
RandomIF,36939617,7,2023-07-31 07:11:52 UTC,Show HN: Compress vision-language and unimodal AI models by structured pruning,https://github.com/sdc17/UPop,15,7,0,8,3,5,2,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0
gfortaine,36940832,1,2023-07-31 10:48:43 UTC,SalesGPT - Your Context-Aware AI Sales Assistant,https://github.com/filip-michalsky/SalesGPT,162,136,72,57,64,103,12,4,4,29,31,26,16,6,9,7,12,19,48,30,21,17,14,23,6,3,4,3,3,6
mfiguiere,36943371,4,2023-07-31 14:45:35 UTC,LLM-J: A pure Java implementation of a LLM inference engine,https://github.com/tjake/llm-j,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
ykdojo,36951929,17,2023-08-01 03:22:43 UTC,Show HN: An MIT-licensed ChatGPT plugin that loads and edits files locally,https://github.com/ykdojo/kaguya,99,12,14,18,5,6,15,0,0,0,0,0,5,0,0,0,0,0,8,3,3,1,0,1,3,0,0,0,0,0
victorforissier,36958395,1,2023-08-01 16:36:37 UTC,Show HN: Simple NPM package to generate unit tests boilerplate (AI-tests),https://github.com/lowczarc/ai-tests,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HNx1,36961465,4,2023-08-01 19:36:54 UTC,"Show HN: IdentityLM, cryptographic proof of identity via language model output",https://github.com/HNx1/IdentityLM,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kwhitley,36966859,1,2023-08-02 04:11:14 UTC,Template: OpenAI GPT chat bot API running on Cloudflare Worker,https://github.com/kwhitley/cloudflare-template-gpt,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ashubham,36968234,2,2023-08-02 08:00:53 UTC,Streaming fetch (OpenAI etc.) for client side JavaScript,https://github.com/idiomicdev/fetch-stream-observable,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
petercooper,36969749,4,2023-08-02 12:09:28 UTC,Elia: A terminal ChatGPT client built with Textual,https://github.com/darrenburns/elia,64,21,48,24,30,31,1,1,0,1,4,0,2,2,0,2,1,1,3,2,2,6,1,4,2,2,0,2,1,1
jawerty,36979066,2,2023-08-02 23:04:33 UTC,Show HN: Fine-tuning Llama 2 to build a Tiny Webdev LLM,https://github.com/jawerty/tiny-webdev-llm,7,1,0,1,1,1,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,0,0
jlaporte,36979297,1,2023-08-02 23:25:22 UTC,TypeAI: An AI Engineering Framework for TypeScript,https://github.com/TypeAI-dev/typeai-core,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tisztamo,36982986,2,2023-08-03 08:32:46 UTC,Junior – Your AI contributor which codes itself,https://github.com/tisztamo/Junior,12,0,3,0,1,0,121,51,19,15,6,12,20,14,5,0,2,2,2,1,0,0,1,0,1,2,2,1,2,2
lwy8wing,36983417,15,2023-08-03 09:29:21 UTC,Automatically generate tests for your website by using LLM models,https://github.com/aquarius-wing/web-test-gpt,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
silvanmelchior,36990591,7,2023-08-03 19:29:11 UTC,Show HN: ChatGPT code interpreter on sensitive data without uploading it,https://github.com/silvanmelchior/IncognitoPilot,251,59,25,13,18,12,37,2,0,0,0,0,21,4,0,0,0,0,23,9,1,0,3,0,2,1,0,0,0,0
gfortaine,36993223,4,2023-08-03 22:56:06 UTC,Alibaba Releases AI Models Qwen-7B and Qwen-7B-Chat to Rival Meta's Llama 2,https://github.com/QwenLM/Qwen-7B,3495,369,0,0,0,0,153,21,0,0,0,0,101,20,0,0,0,0,249,37,0,0,0,0,25,8,0,0,0,0
acover,36994670,1,2023-08-04 02:18:58 UTC,Show HN: python script to suggest domain names with chatgpt,https://github.com/acover288/domain_gen_py,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FlowWei,36996344,1,2023-08-04 06:53:02 UTC,"Show HN: Moyubie – Talk to AI and friends in private, get ads free news feeds",https://github.com/flowbehappy/moyubie,4,0,0,0,0,0,37,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
sidewaysnz,36998514,9,2023-08-04 11:38:12 UTC,Open Source AI Shell for Using LLMs in the CLI and Scripting,https://github.com/brynzai/aish,11,0,0,0,0,0,21,10,0,0,15,4,3,6,0,0,10,2,0,0,0,0,0,0,1,1,0,0,1,1
jojodoi,37003056,2,2023-08-04 17:26:20 UTC,A user-built manual on using TPUs for AI and LLMs on Google Cloud,https://github.com/ayaka14732/tpu-starter,13,5,74,11,3,5,0,0,8,0,0,0,0,0,2,0,0,0,0,1,4,1,0,1,0,0,1,0,0,0
yu3zhou4,37004708,100,2023-08-04 19:29:07 UTC,Show HN: Gdańsk AI – full stack AI voice chatbot,https://github.com/jmaczan/gdansk-ai,137,9,0,7,4,7,13,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,1,2,0,0,0,0,0
TylerGlaiel,37016442,2,2023-08-05 21:24:30 UTC,Show HN: Python library to run a “function” over a set of data via ChatGPT,https://github.com/TylerGlaiel/gpt_batch_eval,7,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jamesmurdza,37020843,55,2023-08-06 11:20:10 UTC,Awesome AI-powered developer tools,https://github.com/jamesmurdza/awesome-ai-devtools,1069,69,41,46,49,56,46,0,0,4,9,11,33,0,0,2,4,7,58,3,2,5,14,11,17,0,0,2,3,4
adarshpunj,37026182,4,2023-08-06 20:18:50 UTC,GPT-3+Enterprise data – GPT-powered chatbot around your company's documents,https://github.com/adarshpunj/gpt-chatbot-example,13,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
F23TT,37030213,1,2023-08-07 04:39:46 UTC,InputGPT Query ChatGPT in any input area,https://github.com/linexjlin/inputGPT,13,1,0,4,3,10,7,4,1,1,10,8,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,1,1,1
enoch2090,37031520,2,2023-08-07 07:47:02 UTC,MetaGPT – A LLM powered simulation of software dev company,https://github.com/geekan/MetaGPT,16120,2443,3055,897,2123,1039,52,92,71,24,187,201,108,122,129,51,222,219,1689,378,333,137,225,151,37,36,32,16,22,17
loa_observer,37032147,2,2023-08-07 09:15:50 UTC,One-click machine learning deployment (e.g. LLM) at scale on any cluster,https://github.com/tensorchord/openmodelz,128,17,19,15,8,15,27,13,8,0,0,0,48,28,16,0,0,0,14,3,2,0,1,2,8,6,5,0,0,0
hainghiem375,37034566,3,2023-08-07 13:59:56 UTC,Scrape any website quickly with LLM (open-source),https://github.com/trancethehuman/entities-extraction-web-scraper,74,21,27,16,8,13,6,0,4,0,0,0,0,0,0,0,0,0,29,14,17,3,5,7,1,0,1,0,0,0
nichochar,37034575,161,2023-08-07 14:00:38 UTC,Show HN: Axilla – Open-source TypeScript framework for LLM apps,https://github.com/axilla-io/ax,674,38,0,0,0,0,123,90,0,0,0,0,52,27,0,0,0,0,26,2,0,0,0,0,2,3,0,0,0,0
meraxes,37038809,1,2023-08-07 18:44:59 UTC,Show HN: Building a Llama 2 Telegram Chatbot for free,https://github.com/ma2za/telegram-llm-guru,27,4,0,0,0,0,6,17,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
matankleyman,37045610,1,2023-08-08 07:21:05 UTC,Declarai – a game-changer for Python-based language model interactions,https://github.com/vendi-ai/declarai,49,9,5,3,1,1,195,25,5,0,0,0,85,20,9,3,0,0,6,2,1,0,0,0,6,5,4,1,0,0
anais9,37047715,2,2023-08-08 12:06:16 UTC,PhoneGPT: Audibly converse or text with ChatGPT via Twilio flow (open source),https://github.com/alexdredmon/phone-gpt,8,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
omarsar,37049536,2,2023-08-08 14:31:07 UTC,ML YouTube Courses: Discover the Best and Latest ML / AI Courses,https://github.com/dair-ai/ML-YouTube-Courses,428,119,175,72,281,1002,12,0,2,0,0,3,1,0,2,0,0,2,44,15,27,13,40,94,1,0,2,0,0,2
tjake,37051714,7,2023-08-08 16:37:49 UTC,Show HN: Jlama – A fast Java inference engine for GPT and Llama models,https://github.com/tjake/Jlama,99,29,17,27,22,17,8,11,22,5,0,3,2,4,3,2,0,0,4,2,3,4,2,1,2,1,2,2,0,1
simonmesmith,37052979,51,2023-08-08 17:57:13 UTC,Show HN: Agentflow – Run Complex LLM Workflows from Simple JSON,https://github.com/simonmesmith/agentflow,194,10,6,12,2,4,46,0,0,0,0,0,35,0,0,0,0,0,10,2,2,1,1,1,1,0,0,0,0,0
edisonsama,37054388,2,2023-08-08 19:37:26 UTC,Stable Agents – Concise List of What AI Agents Can Do,https://github.com/plowsai/stableagents,11,6,1,2,0,0,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
mingming919,37060207,1,2023-08-09 08:58:30 UTC,Show HN: Toy Code Interpreter – A Simplified OpenAI ChatGPT Code Interpreter,https://github.com/minghaochen/Toy-Code-Interpreter,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mlejva,37063077,1,2023-08-09 14:20:52 UTC,Show HN: Common protocol for communication with (and between) AI Agents,https://github.com/e2b-dev/agent-protocol,113,8,0,0,0,0,120,0,0,0,0,0,59,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
xjia,37065124,1,2023-08-09 16:30:58 UTC,Show HN: Code Review Mode for ChatGPT,https://github.com/specful-ai/chatreview,27,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
jessemhan,37065734,17,2023-08-09 17:13:44 UTC,Show HN: Rift – Open-source AI-native language server for your personal AI SWE,https://github.com/morph-labs/rift,1336,240,191,68,54,50,251,178,90,1,0,0,49,64,33,2,1,0,52,15,11,7,2,6,11,8,6,3,1,0
